N,M
1,2
1,3
2,3
1,4
2,4
3,4
1,5
3,5
4,5
1,6
3,6
4,6
5,6
1,7
3,7
5,7
6,7
3,8
5,8
6,8
7,8
3,9
5,9
6,9
7,9
8,9
3,10
5,10
6,10
7,10
8,10
9,10
3,11
5,11
6,11
7,11
8,11
9,11
10,11
3,12
5,12
6,12
8,12
9,12
10,12
11,12
3,13
5,13
6,13
8,13
9,13
10,13
11,13
12,13
3,14
5,14
6,14
8,14
9,14
10,14
11,14
12,14
3,15
5,15
6,15
8,15
9,15
10,15
11,15
14,15
3,16
5,16
6,16
8,16
9,16
10,16
11,16
14,16
15,16
3,17
5,17
6,17
8,17
9,17
10,17
11,17
14,17
15,17
3,18
5,18
6,18
8,18
9,18
10,18
11,18
14,18
15,18
3,19
5,19
6,19
8,19
9,19
10,19
11,19
14,19
15,19
18,19
3,20
5,20
6,20
8,20
9,20
10,20
11,20
14,20
15,20
18,20
3,21
5,21
6,21
8,21
9,21
10,21
11,21
14,21
15,21
18,21
20,21
3,22
5,22
6,22
8,22
9,22
10,22
11,22
14,22
15,22
18,22
20,22
21,22
3,23
5,23
6,23
8,23
9,23
10,23
11,23
14,23
15,23
18,23
20,23
21,23
22,23
3,24
5,24
6,24
8,24
9,24
10,24
11,24
14,24
15,24
18,24
20,24
21,24
22,24
3,25
5,25
6,25
8,25
9,25
10,25
11,25
14,25
15,25
18,25
20,25
21,25
22,25
24,25
3,26
5,26
6,26
8,26
9,26
10,26
11,26
14,26
15,26
18,26
20,26
21,26
22,26
24,26
25,26
3,27
5,27
6,27
8,27
9,27
10,27
11,27
14,27
15,27
18,27
20,27
21,27
22,27
24,27
25,27
26,27
3,28
5,28
6,28
8,28
9,28
10,28
11,28
14,28
15,28
18,28
20,28
21,28
22,28
24,28
25,28
26,28
3,29
5,29
6,29
8,29
9,29
10,29
11,29
14,29
15,29
18,29
20,29
21,29
22,29
24,29
25,29
26,29
28,29
3,30
6,30
8,30
9,30
10,30
11,30
14,30
15,30
18,30
21,30
22,30
24,30
25,30
28,30
3,31
6,31
8,31
9,31
10,31
11,31
14,31
15,31
18,31
21,31
22,31
24,31
25,31
28,31
30,31
3,32
6,32
8,32
9,32
10,32
11,32
14,32
15,32
18,32
21,32
22,32
24,32
25,32
28,32
30,32
31,32
3,33
6,33
8,33
9,33
10,33
11,33
14,33
15,33
18,33
21,33
22,33
24,33
25,33
28,33
30,33
31,33
32,33
3,34
6,34
8,34
9,34
10,34
11,34
14,34
15,34
18,34
21,34
22,34
24,34
25,34
28,34
30,34
31,34
32,34
33,34
3,35
8,35
9,35
10,35
11,35
14,35
15,35
21,35
22,35
24,35
25,35
28,35
30,35
32,35
34,35
3,36
8,36
9,36
10,36
11,36
14,36
15,36
21,36
22,36
24,36
25,36
28,36
30,36
32,36
34,36
35,36
3,37
8,37
9,37
10,37
11,37
14,37
15,37
21,37
22,37
24,37
25,37
28,37
30,37
32,37
34,37
35,37
36,37
3,38
8,38
9,38
10,38
11,38
14,38
15,38
21,38
22,38
24,38
25,38
28,38
30,38
32,38
34,38
35,38
36,38
3,39
8,39
10,39
11,39
14,39
15,39
21,39
22,39
24,39
25,39
28,39
30,39
32,39
35,39
36,39
38,39
3,40
8,40
10,40
11,40
14,40
15,40
21,40
22,40
24,40
25,40
28,40
30,40
32,40
35,40
36,40
38,40
39,40
3,41
8,41
10,41
11,41
14,41
15,41
21,41
22,41
24,41
25,41
28,41
30,41
32,41
35,41
