N,M
1,3
1,4
3,4
1,5
3,5
4,5
1,6
3,6
4,6
5,6
1,7
3,7
4,7
5,7
6,7
1,8
3,8
4,8
5,8
6,8
7,8
1,9
3,9
4,9
5,9
6,9
7,9
1,10
3,10
4,10
5,10
6,10
7,10
1,11
3,11
6,11
7,11
1,12
3,12
6,12
7,12
11,12
1,13
3,13
6,13
7,13
11,13
1,14
3,14
6,14
7,14
11,14
1,15
3,15
6,15
7,15
11,15
1,16
3,16
11,16
15,16
11,17
15,17
11,18
15,18
17,18
11,19
15,19
17,19
18,19
11,20
15,20
17,20
18,20
19,20
11,21
15,21
17,21
18,21
19,21
11,22
15,22
17,22
18,22
21,22
11,23
15,23
17,23
18,23
21,23
22,23
11,24
15,24
17,24
18,24
21,24
22,24
11,25
15,25
17,25
18,25
21,25
22,25
24,25
11,26
15,26
17,26
18,26
21,26
22,26
24,26
11,27
15,27
17,27
18,27
21,27
22,27
24,27
26,27
11,28
17,28
18,28
21,28
22,28
24,28
26,28
27,28
11,29
17,29
18,29
21,29
22,29
24,29
26,29
27,29
11,30
17,30
18,30
21,30
22,30
24,30
26,30
27,30
11,31
17,31
18,31
21,31
22,31
24,31
26,31
27,31
11,32
17,32
18,32
21,32
22,32
24,32
26,32
27,32
11,33
17,33
18,33
21,33
22,33
24,33
26,33
27,33
32,33
11,34
17,34
18,34
21,34
22,34
24,34
26,34
27,34
32,34
11,35
17,35
18,35
21,35
22,35
24,35
26,35
27,35
32,35
11,36
17,36
18,36
21,36
22,36
26,36
32,36
35,36
11,37
17,37
18,37
21,37
22,37
26,37
32,37
35,37
36,37
11,38
17,38
18,38
21,38
22,38
26,38
32,38
35,38
36,38
37,38
11,39
17,39
18,39
21,39
22,39
26,39
32,39
35,39
36,39
37,39
38,39
41,42
41,43
42,43
41,44
42,44
41,45
42,45
44,45
41,46
42,46
44,46
45,46
41,47
42,47
44,47
45,47
46,47
41,48
42,48
44,48
45,48
46,48
47,48
41,49
42,49
44,49
45,49
46,49
47,49
41,50
42,50
44,50
46,50
47,50
41,51
42,51
44,51
46,51
47,51
50,51
41,52
42,52
44,52
47,52
50,52
51,52
41,53
42,53
44,53
47,53
50,53
51,53
52,53
41,54
42,54
44,54
47,54
50,54
51,54
52,54
53,54
41,55
42,55
44,55
47,55
50,55
51,55
52,55
53,55
54,55
41,56
42,56
44,56
47,56
50,56
51,56
52,56
53,56
54,56
55,56
41,57
42,57
44,57
47,57
50,57
51,57
52,57
53,57
55,57
41,58
42,58
44,58
47,58
50,58
51,58
52,58
53,58
55,58
41,59
42,59
47,59
50,59
51,59
52,59
53,59
55,59
58,59
41,60
42,60
47,60
50,60
51,60
52,60
53,60
55,60
58,60
59,60
41,61
42,61
47,61
50,61
51,61
52,61
53,61
55,61
58,61
59,61
60,61
41,62
42,62
47,62
50,62
51,62
52,62
53,62
55,62
58,62
59,62
60,62
61,62
41,63
42,63
47,63
50,63
51,63
52,63
53,63
55,63
58,63
59,63
60,63
61,63
62,63
41,64
42,64
47,64
50,64
51,64
52,64
53,64
55,64
58,64
59,64
60,64
61,64
62,64
63,64
41,65
42,65
47,65
50,65
51,65
52,65
55,65
58,65
59,65
60,65
61,65
62,65
63,65
