N,M
1,2
1,3
2,3
1,4
2,4
3,4
1,5
3,5
4,5
1,6
3,6
4,6
5,6
1,7
3,7
4,7
5,7
1,8
3,8
4,8
5,8
1,9
3,9
4,9
5,9
1,10
3,10
4,10
5,10
9,10
1,11
3,11
4,11
5,11
9,11
10,11
1,12
3,12
4,12
5,12
9,12
10,12
1,13
3,13
4,13
5,13
9,13
10,13
1,14
3,14
4,14
5,14
9,14
10,14
1,15
3,15
4,15
5,15
9,15
10,15
1,16
3,16
4,16
5,16
9,16
10,16
15,16
1,17
3,17
4,17
5,17
9,17
10,17
15,17
16,17
1,18
3,18
4,18
5,18
9,18
10,18
15,18
16,18
17,18
1,19
3,19
4,19
5,19
9,19
10,19
16,19
17,19
1,20
3,20
4,20
5,20
9,20
10,20
16,20
17,20
1,21
3,21
4,21
5,21
9,21
10,21
16,21
17,21
1,22
3,22
4,22
5,22
9,22
10,22
16,22
17,22
1,23
3,23
4,23
5,23
9,23
10,23
16,23
17,23
1,24
3,24
4,24
5,24
9,24
10,24
16,24
17,24
23,24
1,25
3,25
5,25
9,25
10,25
16,25
17,25
1,26
3,26
5,26
9,26
16,26
17,26
1,27
3,27
5,27
9,27
16,27
17,27
26,27
1,28
3,28
5,28
9,28
16,28
17,28
26,28
27,28
1,29
3,29
5,29
9,29
16,29
17,29
26,29
27,29
1,30
3,30
5,30
9,30
16,30
17,30
26,30
27,30
1,31
3,31
5,31
9,31
16,31
17,31
26,31
27,31
30,31
1,32
3,32
5,32
9,32
16,32
17,32
26,32
27,32
30,32
1,33
3,33
5,33
9,33
16,33
17,33
26,33
27,33
30,33
1,34
3,34
5,34
9,34
16,34
17,34
26,34
27,34
30,34
1,35
3,35
5,35
9,35
16,35
17,35
26,35
27,35
30,35
36,37
36,38
37,38
36,39
37,39
36,40
37,40
36,41
37,41
36,42
37,42
36,43
37,43
36,44
37,44
36,45
37,45
36,46
37,46
36,47
37,47
36,48
37,48
36,49
37,49
36,50
37,50
49,50
36,51
37,51
49,51
36,52
37,52
49,52
36,53
49,53
52,53
36,54
49,54
53,54
36,55
49,55
53,55
36,56
49,56
53,56
55,56
49,57
55,57
56,57
49,58
55,58
56,58
49,59
56,59
49,60
56,60
59,60
56,61
59,61
60,61
56,62
59,62
60,62
56,63
60,63
56,64
60,64
56,65
60,65
64,65
56,66
60,66
64,66
65,66
56,67
60,67
64,67
65,67
60,68
65,68
67,68
60,69
65,69
67,69
60,70
65,70
67,70
60,71
65,71
67,71
70,71
65,72
67,72
70,72
65,73
67,73
70,73
72,73
65,74
67,74
70,74
72,74
73,74
65,75
67,75
70,75
72,75
73,75
74,75
65,76
67,76
70,76
72,76
73,76
74,76
75,76
67,77
70,77
72,77
73,77
74,77
75,77
67,78
70,78
72,78
73,78
74,78
75,78
67,79
70,79
72,79
73,79
74,79
75,79
67,80
70,80
72,80
73,80
74,80
75,80
79,80
67,81
70,81
72,81
73,81
74,81
75,81
79,81
67,82
70,82
72,82
73,82
74,82
75,82
79,82
81,82
67,83
70,83
72,83
73,83
74,83
75,83
79,83
81,83
82,83
67,84
70,84
72,84
73,84
74,84
75,84
79,84
81,84
82,84
83,84
70,85
72,85
73,85
75,85
79,85
81,85
82,85
83,85
70,86
72,86
73,86
79,86
82,86
83,86
70,87
72,87
73,87
79,87
82,87
83,87
70,88
72,88
73,88
79,88
82,88
83,88
87,88
70,89
72,89
73,89
70,90
72,90
73,90
70,91
72,91
73,91
90,91
70,92
72,92
73,92
90,92
91,92
70,93
72,93
73,93
90,93
91,93
90,94
91,94
90,95
91,95
94,95
90,96
91,96
94,96
95,96
90,97
91,97
94,97
95,97
96,97
90,98
91,98
94,98
95,98
96,98
97,98
90,99
91,99
90,100
91,100
90,101
91,101
100,101
90,102
91,102
90,103
91,103
90,104
91,104
103,104
90,105
91,105
90,106
91,106
105,106
