N,M
3,4
3,5
4,5
3,6
4,6
5,6
3,7
4,7
5,7
3,8
4,8
5,8
7,8
3,9
4,9
5,9
7,9
8,9
3,10
4,10
5,10
7,10
8,10
9,10
3,11
4,11
5,11
7,11
8,11
9,11
10,11
3,12
4,12
5,12
7,12
8,12
9,12
10,12
3,13
4,13
5,13
7,13
8,13
9,13
10,13
3,14
4,14
5,14
7,14
8,14
9,14
10,14
13,14
3,15
4,15
5,15
7,15
8,15
9,15
10,15
13,15
14,15
3,16
4,16
5,16
8,16
9,16
10,16
13,16
14,16
15,16
3,17
4,17
5,17
8,17
9,17
10,17
13,17
14,17
15,17
16,17
3,18
4,18
5,18
8,18
9,18
10,18
13,18
14,18
15,18
16,18
17,18
3,19
4,19
5,19
8,19
9,19
10,19
13,19
14,19
15,19
16,19
17,19
18,19
3,20
4,20
5,20
8,20
9,20
10,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
3,22
4,22
5,22
8,22
9,22
10,22
13,22
14,22
15,22
16,22
17,22
18,22
19,22
3,23
4,23
5,23
8,23
9,23
10,23
13,23
14,23
15,23
16,23
17,23
18,23
19,23
3,24
4,24
5,24
8,24
9,24
10,24
13,24
14,24
15,24
16,24
18,24
19,24
4,25
5,25
8,25
9,25
10,25
13,25
14,25
15,25
16,25
18,25
19,25
24,25
4,26
5,26
8,26
9,26
10,26
13,26
14,26
15,26
16,26
18,26
19,26
24,26
4,27
5,27
8,27
9,27
10,27
13,27
14,27
15,27
18,27
19,27
